@RELATION urnsModelData

@ATTRIBUTE logLen NUMERIC
@ATTRIBUTE singleton NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE median NUMERIC
@ATTRIBUTE top10 NUMERIC
@ATTRIBUTE top50 NUMERIC
@ATTRIBUTE top100 NUMERIC
@ATTRIBUTE top1000 NUMERIC
@ATTRIBUTE expTruth NUMERIC

@DATA
10.7285,0.0025,0.0152,37.9888,5.0000,0.4983,0.6092,0.6504,0.7826,1.1887991816209105
10.2876,0.0384,0.0732,11.8177,2.0000,0.4983,0.6089,0.6502,0.7835,1.1887991816209105
10.2236,0.0432,0.0791,11.0339,2.0000,0.4967,0.6072,0.6481,0.7827,1.1887991816209105
10.7567,0.0194,0.0474,17.0247,2.0000,0.4397,0.5627,0.6133,0.7659,1.6775097522362385
10.2276,0.0609,0.0996,8.9971,1.0000,0.4400,0.5631,0.6135,0.7678,1.6775097522362385
10.5553,0.0354,0.0692,12.4112,2.0000,0.4398,0.5631,0.6136,0.7669,1.6775097522362385
10.0902,0.0348,0.0711,11.2743,2.0000,0.2780,0.4193,0.4863,0.7099,1.065830973768988
10.1335,0.0313,0.0665,11.9389,2.0000,0.2762,0.4173,0.4851,0.7087,1.065830973768988
10.4086,0.0062,0.0254,25.3656,4.0000,0.2792,0.4209,0.4872,0.7093,1.065830973768988
10.3357,0.0373,0.0718,11.9579,2.0000,0.4446,0.5679,0.6184,0.7727,1.7055494398794209
10.1189,0.0546,0.0928,9.5468,1.0000,0.4443,0.5672,0.6179,0.7735,1.7055494398794209
10.3366,0.0366,0.0710,12.0614,2.0000,0.4440,0.5671,0.6181,0.7729,1.7055494398794209
9.7735,0.0011,0.0151,26.1130,7.0000,0.2450,0.4212,0.5092,0.6943,0.8227029702115002
9.7454,0.0055,0.0362,16.9220,4.0000,0.2439,0.4187,0.5074,0.6935,0.8227029702115002
9.7603,0.0030,0.0264,20.1788,5.0000,0.2426,0.4186,0.5077,0.6937,0.8227029702115002
10.2968,0.0323,0.0659,12.8876,2.0000,0.4435,0.5707,0.6230,0.7813,1.647345314887015
10.4865,0.0168,0.0441,18.0378,2.0000,0.4447,0.5718,0.6242,0.7822,1.647345314887015
10.2451,0.0376,0.0727,11.8556,2.0000,0.4428,0.5700,0.6224,0.7807,1.647345314887015
10.0666,0.0391,0.0744,11.6187,2.0000,0.4575,0.5839,0.6357,0.7906,1.7117368971963658
9.9708,0.0465,0.0840,10.4625,2.0000,0.4582,0.5839,0.6364,0.7916,1.7117368971963658
10.1182,0.0357,0.0700,12.2606,2.0000,0.4580,0.5828,0.6354,0.7898,1.7117368971963658
10.2997,0.0164,0.0441,17.5369,2.0000,0.3903,0.5298,0.5884,0.7670,1.4218461835639453
10.0959,0.0345,0.0706,11.9193,2.0000,0.3901,0.5293,0.5876,0.7661,1.4218461835639453
10.0207,0.0409,0.0783,10.9023,2.0000,0.3914,0.5303,0.5892,0.7681,1.4218461835639453
11.2534,0.0590,0.0953,9.4178,1.0000,0.4165,0.5329,0.5804,0.7238,1.6492655143032053
10.8898,0.0857,0.1238,7.4118,1.0000,0.4163,0.5333,0.5808,0.7251,1.6492655143032053
10.9014,0.0850,0.1240,7.4145,1.0000,0.4166,0.5337,0.5811,0.7249,1.6492655143032053
9.9707,0.0024,0.0153,34.8834,5.0000,0.3333,0.4834,0.5507,0.7636,1.1942418469958753
9.7555,0.0222,0.0534,14.4852,2.0000,0.3364,0.4848,0.5521,0.7667,1.1942418469958753
9.9384,0.0051,0.0235,26.6836,4.0000,0.3335,0.4836,0.5509,0.7640,1.1942418469958753
10.1085,0.0107,0.0343,21.6197,3.0000,0.4549,0.5867,0.6416,0.8010,1.6470167125329083
10.0243,0.0169,0.0448,17.6111,2.0000,0.4549,0.5872,0.6415,0.8018,1.6470167125329083
10.1703,0.0048,0.0221,29.4389,4.0000,0.4542,0.5860,0.6408,0.8013,1.6470167125329083
10.5527,0.0220,0.0517,15.7951,2.0000,0.3235,0.4748,0.5446,0.7631,1.1246492382994058
10.1332,0.0577,0.0958,9.2529,1.0000,0.3224,0.4745,0.5440,0.7641,1.1246492382994058
10.7360,0.0076,0.0279,25.4518,3.0000,0.3227,0.4746,0.5443,0.7629,1.1246492382994058
10.4064,0.0009,0.0088,50.1520,6.0000,0.3392,0.5156,0.6001,0.7918,1.0230527741222768
10.3143,0.0080,0.0290,24.5717,3.0000,0.3395,0.5157,0.6004,0.7928,1.0230527741222768
10.3862,0.0025,0.0154,37.0467,5.0000,0.3389,0.5150,0.5996,0.7916,1.0230527741222768
10.1177,0.0288,0.0619,13.4661,2.0000,0.4449,0.5712,0.6235,0.7831,1.6994701754205825
10.2678,0.0155,0.0431,18.1058,3.0000,0.4452,0.5716,0.6242,0.7825,1.6994701754205825
10.3061,0.0127,0.0382,19.8122,3.0000,0.4450,0.5708,0.6228,0.7816,1.6994701754205825
10.3462,0.0336,0.0673,12.2668,2.0000,0.2623,0.4030,0.4713,0.7094,0.9983806562242075
10.3861,0.0309,0.0641,12.8187,2.0000,0.2622,0.4025,0.4714,0.7095,0.9983806562242075
10.1403,0.0504,0.0879,9.6733,2.0000,0.2621,0.4035,0.4722,0.7130,0.9983806562242075
10.7680,0.0655,0.1047,8.5851,1.0000,0.3896,0.5165,0.5692,0.7280,1.4892161855647335
10.6271,0.0777,0.1175,7.7225,1.0000,0.3881,0.5148,0.5685,0.7281,1.4892161855647335
10.4419,0.0915,0.1336,6.8722,1.0000,0.3885,0.5162,0.5697,0.7290,1.4892161855647335
10.2078,0.0175,0.0462,16.8527,2.0000,0.3696,0.5141,0.5759,0.7651,1.3297486103383254
10.2557,0.0131,0.0386,19.4027,3.0000,0.3695,0.5136,0.5758,0.7657,1.3297486103383254
10.1360,0.0240,0.0549,14.6541,2.0000,0.3707,0.5149,0.5770,0.7666,1.3297486103383254
11.1152,0.0216,0.0498,16.4758,2.0000,0.3450,0.4943,0.5604,0.7522,1.1949707175305988
10.6741,0.0557,0.0922,9.6932,1.0000,0.3469,0.4966,0.5631,0.7544,1.1949707175305988
10.3383,0.0804,0.1191,7.6712,1.0000,0.3468,0.4965,0.5623,0.7551,1.1949707175305988
10.2250,0.0100,0.0445,15.1689,4.0000,0.1642,0.2761,0.3391,0.6051,0.864327601145583
10.2893,0.0000,0.0010,60.9766,14.0000,0.1633,0.2760,0.3389,0.6045,0.864327601145583
10.2885,0.0001,0.0039,44.5214,10.0000,0.1632,0.2762,0.3388,0.6044,0.864327601145583
9.9967,0.0143,0.0601,11.9573,3.0000,0.1495,0.2622,0.3277,0.6264,0.8115598082395483
10.0715,0.0007,0.0122,27.2903,7.0000,0.1488,0.2619,0.3279,0.6240,0.8115598082395483
10.0493,0.0046,0.0330,17.3836,5.0000,0.1485,0.2617,0.3277,0.6255,0.8115598082395483
11.2049,0.0001,0.0025,71.0962,10.0000,0.4770,0.5606,0.5967,0.7236,0.9514785443913459
10.4056,0.0791,0.1271,7.1638,1.0000,0.4759,0.5585,0.5944,0.7234,0.9514785443913459
10.8318,0.0373,0.0779,11.0194,2.0000,0.4770,0.5610,0.5970,0.7242,0.9514785443913459
10.4848,0.0578,0.0951,9.4282,1.0000,0.4570,0.5732,0.6213,0.7647,1.7793135445371624
11.1750,0.0038,0.0186,34.1390,4.0000,0.4552,0.5724,0.6205,0.7638,1.7793135445371624
10.5767,0.0494,0.0853,10.3947,1.0000,0.4552,0.5733,0.6215,0.7661,1.7793135445371624
10.4230,0.0985,0.1392,6.6239,1.0000,0.3981,0.5229,0.5749,0.7306,1.5160783919993188
10.5077,0.0929,0.1329,6.9165,1.0000,0.3978,0.5233,0.5759,0.7314,1.5160783919993188
11.2684,0.0348,0.0668,12.8155,2.0000,0.3973,0.5227,0.5743,0.7298,1.5160783919993188
10.0355,0.0440,0.0808,10.7668,2.0000,0.4572,0.5787,0.6289,0.7838,1.7997299094427996
10.0300,0.0446,0.0812,10.6981,2.0000,0.4586,0.5780,0.6283,0.7829,1.7997299094427996
10.1621,0.0329,0.0666,12.7221,2.0000,0.4581,0.5791,0.6296,0.7844,1.7997299094427996
10.1385,0.0180,0.0477,16.4209,2.0000,0.3984,0.5373,0.5951,0.7719,1.4572422059140047
10.2017,0.0125,0.0376,19.7083,3.0000,0.3985,0.5368,0.5956,0.7730,1.4572422059140047
10.3121,0.0036,0.0176,32.9423,5.0000,0.3972,0.5362,0.5951,0.7726,1.4572422059140047
9.9169,0.0239,0.0557,14.6621,2.0000,0.4590,0.5839,0.6356,0.7969,1.7589103317161383
10.1866,0.0004,0.0060,57.5767,8.0000,0.4576,0.5831,0.6355,0.7945,1.7589103317161383
9.9514,0.0202,0.0505,15.8859,2.0000,0.4581,0.5841,0.6359,0.7961,1.7589103317161383
10.5554,0.0666,0.1043,8.6923,1.0000,0.4344,0.5703,0.6244,0.7611,1.467212742113632
10.8155,0.0472,0.0819,10.7839,1.0000,0.4321,0.5699,0.6238,0.7597,1.467212742113632
10.5666,0.0667,0.1043,8.6881,1.0000,0.4328,0.5688,0.6230,0.7593,1.467212742113632
10.6923,0.1134,0.1526,6.0999,1.0000,0.3875,0.5115,0.5622,0.7141,1.4899805323155377
10.9125,0.0990,0.1375,6.7280,1.0000,0.3871,0.5093,0.5604,0.7127,1.4899805323155377
11.8011,0.0355,0.0667,12.9965,2.0000,0.3878,0.5110,0.5620,0.7129,1.4899805323155377
10.3066,0.0108,0.0501,13.9799,4.0000,0.2663,0.4524,0.5069,0.6590,0.8254535772794583
10.3733,0.0000,0.0002,72.4041,17.0000,0.2667,0.4517,0.5055,0.6576,0.8254535772794583
10.2138,0.0272,0.0831,9.7331,3.0000,0.2669,0.4534,0.5067,0.6587,0.8254535772794583
9.7691,0.0261,0.0593,13.6170,2.0000,0.3500,0.5013,0.5686,0.7793,1.2291451430492335
9.7500,0.0283,0.0628,12.9955,2.0000,0.3508,0.5014,0.5684,0.7784,1.2291451430492335
9.8470,0.0198,0.0495,15.8329,2.0000,0.3511,0.5029,0.5695,0.7800,1.2291451430492335
10.6973,0.0163,0.0432,18.0658,2.0000,0.3078,0.4523,0.5181,0.7281,1.1429669434478986
10.2129,0.0556,0.0937,9.2356,1.0000,0.3082,0.4519,0.5171,0.7284,1.1429669434478986
10.1554,0.0618,0.1013,8.6024,1.0000,0.3062,0.4508,0.5170,0.7285,1.1429669434478986
10.1682,0.0239,0.0550,14.9528,2.0000,0.3212,0.4860,0.5643,0.7872,1.038173743021385
10.4341,0.0027,0.0158,36.6706,5.0000,0.3212,0.4863,0.5649,0.7864,1.038173743021385
10.1551,0.0261,0.0578,14.3363,2.0000,0.3217,0.4874,0.5657,0.7872,1.038173743021385
10.0972,0.0198,0.0494,16.3741,2.0000,0.4613,0.5906,0.6439,0.7990,1.698079780859293
10.0203,0.0267,0.0589,14.1506,2.0000,0.4625,0.5915,0.6449,0.7991,1.698079780859293
10.3253,0.0007,0.0076,53.2520,7.0000,0.4625,0.5912,0.6445,0.7979,1.698079780859293
10.0938,0.0556,0.0939,9.5141,1.0000,0.4887,0.6077,0.6492,0.7834,1.2669482324222952
10.6557,0.0106,0.0336,22.2837,3.0000,0.4896,0.6079,0.6501,0.7820,1.2669482324222952
10.2533,0.0439,0.0795,11.0150,2.0000,0.4882,0.6073,0.6490,0.7822,1.2669482324222952
10.0870,0.0352,0.0715,11.9327,2.0000,0.4424,0.5678,0.6203,0.7792,1.6909240625565702
10.1940,0.0259,0.0583,14.1805,2.0000,0.4443,0.5704,0.6221,0.7805,1.6909240625565702
10.3863,0.0104,0.0336,21.8238,3.0000,0.4416,0.5679,0.6202,0.7788,1.6909240625565702
10.2554,0.0283,0.0607,13.8572,2.0000,0.4654,0.5899,0.6418,0.7885,1.7367265835504113
10.3335,0.0222,0.0521,15.7361,2.0000,0.4660,0.5909,0.6424,0.7889,1.7367265835504113
10.5677,0.0029,0.0163,36.0894,4.0000,0.4660,0.5908,0.6419,0.7875,1.7367265835504113
10.8328,0.1013,0.1404,6.6111,1.0000,0.4193,0.5331,0.5802,0.7204,1.6699957529519593
10.5530,0.1209,0.1611,5.8217,1.0000,0.4206,0.5336,0.5806,0.7222,1.6699957529519593
11.1827,0.0777,0.1147,7.9836,1.0000,0.4196,0.5336,0.5806,0.7203,1.6699957529519593
10.6931,0.0243,0.0548,15.2018,2.0000,0.4612,0.5947,0.6403,0.7739,1.5269234733662234
10.9669,0.0029,0.0161,36.9116,4.0000,0.4618,0.5953,0.6404,0.7731,1.5269234733662234
10.4411,0.0445,0.0804,10.9127,2.0000,0.4608,0.5945,0.6398,0.7733,1.5269234733662234
10.8763,0.0057,0.0234,28.9952,4.0000,0.4384,0.5693,0.6234,0.7733,1.5728013453203464
10.3609,0.0473,0.0834,10.5477,2.0000,0.4369,0.5679,0.6219,0.7740,1.5728013453203464
10.9353,0.0012,0.0101,47.9286,6.0000,0.4382,0.5693,0.6232,0.7733,1.5728013453203464
10.8362,0.1053,0.1789,5.1661,1.0000,0.3043,0.4524,0.4855,0.6047,0.8285402926402056
10.9176,0.0921,0.1641,5.5731,1.0000,0.3042,0.4534,0.4861,0.6045,0.8285402926402056
10.8193,0.1087,0.1821,5.0839,1.0000,0.3046,0.4538,0.4862,0.6052,0.8285402926402056
10.3122,0.0622,0.1007,8.9555,1.0000,0.4545,0.5911,0.6371,0.7711,1.4969337816464543
10.3650,0.0583,0.0958,9.3662,1.0000,0.4547,0.5921,0.6380,0.7721,1.4969337816464543
10.6312,0.0366,0.0707,12.2399,2.0000,0.4539,0.5905,0.6369,0.7702,1.4969337816464543
10.1364,0.0017,0.0126,41.1454,5.0000,0.4954,0.6218,0.6662,0.8064,1.0897808620201042
10.1572,0.0000,0.0016,90.9106,11.0000,0.4963,0.6225,0.6667,0.8068,1.0897808620201042
9.7990,0.0304,0.0636,13.2164,2.0000,0.4955,0.6210,0.6657,0.8084,1.0897808620201042
10.2310,0.0361,0.0710,12.1527,2.0000,0.4720,0.6072,0.6505,0.7867,1.2528494230589005
10.0293,0.0525,0.0905,9.8190,1.0000,0.4719,0.6078,0.6511,0.7878,1.2528494230589005
10.0605,0.0499,0.0874,10.1162,1.0000,0.4726,0.6083,0.6519,0.7873,1.2528494230589005
10.7900,0.0391,0.0749,11.3583,2.0000,0.2462,0.3816,0.4479,0.6832,0.9860689768462889
10.8605,0.0333,0.0677,12.3990,2.0000,0.2448,0.3793,0.4456,0.6806,0.9860689768462889
10.4514,0.0687,0.1095,8.0493,1.0000,0.2447,0.3793,0.4455,0.6825,0.9860689768462889
9.9863,0.0390,0.0751,11.4996,2.0000,0.3998,0.5466,0.6103,0.7910,1.3419452488378845
10.2769,0.0143,0.0404,19.1898,3.0000,0.3986,0.5475,0.6112,0.7899,1.3419452488378845
10.3680,0.0069,0.0267,26.0950,3.0000,0.3985,0.5476,0.6111,0.7897,1.3419452488378845
10.0560,0.0539,0.0929,9.4944,1.0000,0.4395,0.5642,0.6162,0.7727,1.6833107507298444
10.7256,0.0008,0.0064,57.9806,7.0000,0.4373,0.5624,0.6141,0.7708,1.6833107507298444
10.2096,0.0416,0.0776,11.1450,2.0000,0.4396,0.5637,0.6155,0.7735,1.6833107507298444
10.4913,0.0283,0.0788,10.3103,2.0000,0.2087,0.3527,0.4337,0.6601,0.8575314421639324
10.3356,0.0524,0.1130,7.6868,2.0000,0.2086,0.3522,0.4316,0.6604,0.8575314421639324
10.4596,0.0330,0.0865,9.6020,2.0000,0.2103,0.3527,0.4330,0.6616,0.8575314421639324
10.5583,0.0981,0.1497,6.1524,1.0000,0.2491,0.3990,0.4763,0.6895,0.9349143356968818
11.4461,0.0042,0.0232,26.7026,4.0000,0.2495,0.3990,0.4765,0.6894,0.9349143356968818
10.6601,0.0870,0.1379,6.6295,1.0000,0.2494,0.3992,0.4766,0.6903,0.9349143356968818
10.5317,0.0164,0.0431,18.2934,2.0000,0.3478,0.5060,0.5778,0.7770,1.1497142044232438
10.7269,0.0006,0.0072,55.6258,7.0000,0.3485,0.5066,0.5783,0.7768,1.1497142044232438
10.6197,0.0090,0.0306,23.7460,3.0000,0.3492,0.5075,0.5788,0.7775,1.1497142044232438
10.3529,0.0308,0.0639,13.0522,2.0000,0.2954,0.4417,0.5111,0.7406,1.0733602544657768
10.4681,0.0212,0.0506,15.8506,2.0000,0.2948,0.4414,0.5112,0.7407,1.0733602544657768
10.1575,0.0481,0.0845,10.1836,2.0000,0.2946,0.4428,0.5119,0.7413,1.0733602544657768
10.1464,0.0243,0.0563,14.5877,2.0000,0.4397,0.5682,0.6219,0.7826,1.671560326244073
10.4225,0.0009,0.0087,49.3507,6.0000,0.4414,0.5688,0.6216,0.7820,1.671560326244073
10.0800,0.0300,0.0639,13.0994,2.0000,0.4411,0.5682,0.6210,0.7831,1.671560326244073
10.5890,0.0419,0.0783,11.0509,2.0000,0.4042,0.5322,0.5857,0.7479,1.5296374652103903
10.4191,0.0559,0.0950,9.3316,1.0000,0.4038,0.5324,0.5864,0.7491,1.5296374652103903
10.4965,0.0492,0.0869,10.1047,2.0000,0.4047,0.5337,0.5879,0.7505,1.5296374652103903
10.1813,0.0493,0.0866,10.2083,1.0000,0.5122,0.6105,0.6503,0.7821,1.6251920743695887
10.1401,0.0539,0.0921,9.6744,1.0000,0.5133,0.6114,0.6512,0.7820,1.6251920743695887
10.2397,0.0454,0.0820,10.7437,2.0000,0.5131,0.6117,0.6510,0.7832,1.6251920743695887
10.1459,0.0585,0.0966,9.2880,1.0000,0.4784,0.6016,0.6464,0.7811,1.7311193303747332
10.1086,0.0606,0.0991,9.0708,1.0000,0.4781,0.6015,0.6455,0.7814,1.7311193303747332
10.2215,0.0520,0.0899,9.9119,1.0000,0.4782,0.6004,0.6442,0.7793,1.7311193303747332
10.2430,0.0400,0.0770,11.1288,2.0000,0.3989,0.5335,0.5897,0.7609,1.4857023701804992
10.3661,0.0300,0.0640,13.0424,2.0000,0.4018,0.5357,0.5918,0.7608,1.4857023701804992
10.4916,0.0183,0.0475,16.6906,2.0000,0.4013,0.5349,0.5916,0.7613,1.4857023701804992
11.0134,0.0117,0.0351,21.2441,3.0000,0.3701,0.5056,0.5628,0.7357,1.3837634950935929
10.5104,0.0535,0.0919,9.5605,1.0000,0.3711,0.5060,0.5638,0.7369,1.3837634950935929
10.4066,0.0625,0.1026,8.6658,1.0000,0.3715,0.5056,0.5626,0.7371,1.3837634950935929
9.9749,0.0423,0.0794,11.0204,2.0000,0.4859,0.6095,0.6550,0.7942,1.792795463339275
10.3952,0.0072,0.0273,25.7069,3.0000,0.4874,0.6096,0.6548,0.7927,1.792795463339275
9.9541,0.0439,0.0813,10.7852,2.0000,0.4887,0.6105,0.6559,0.7948,1.792795463339275
10.2883,0.0041,0.0292,19.0803,5.0000,0.1461,0.2514,0.3116,0.5761,0.8387021934524637
10.2922,0.0033,0.0260,20.1994,5.0000,0.1458,0.2516,0.3110,0.5748,0.8387021934524637
10.1788,0.0228,0.0735,10.3409,3.0000,0.1452,0.2515,0.3116,0.5775,0.8387021934524637
10.6243,0.0086,0.0297,24.3152,3.0000,0.4200,0.5786,0.6383,0.7828,1.298753100265585
10.6080,0.0100,0.0326,22.7965,3.0000,0.4201,0.5783,0.6380,0.7827,1.298753100265585
10.2649,0.0380,0.0730,11.8479,2.0000,0.4211,0.5784,0.6382,0.7839,1.298753100265585
9.9280,0.0098,0.0331,22.1515,3.0000,0.4307,0.5978,0.6577,0.8102,1.2750332126431585
9.9999,0.0043,0.0205,30.6144,4.0000,0.4307,0.5993,0.6590,0.8104,1.2750332126431585
10.0317,0.0014,0.0112,43.5488,6.0000,0.4308,0.5986,0.6582,0.8096,1.2750332126431585
10.1304,0.0191,0.0481,16.7210,2.0000,0.4885,0.6150,0.6592,0.7985,1.565606491197763
9.9136,0.0366,0.0716,11.9993,2.0000,0.4906,0.6170,0.6611,0.8009,1.565606491197763
9.9102,0.0390,0.0757,11.4530,2.0000,0.4912,0.6157,0.6594,0.7987,1.565606491197763
10.4413,0.0747,0.1390,6.4710,2.0000,0.3742,0.4908,0.5257,0.6570,0.8614506805836007
10.8814,0.0069,0.0365,17.9194,4.0000,0.3760,0.4926,0.5274,0.6563,0.8614506805836007
10.8875,0.0064,0.0348,18.5041,4.0000,0.3760,0.4919,0.5270,0.6567,0.8614506805836007
10.1013,0.0292,0.0622,13.3457,2.0000,0.3481,0.4979,0.5650,0.7734,1.2120954671203588
9.9386,0.0441,0.0806,10.6851,2.0000,0.3482,0.4988,0.5655,0.7758,1.2120954671203588
10.3327,0.0101,0.0331,22.0770,3.0000,0.3477,0.4979,0.5646,0.7727,1.2120954671203588
10.7308,0.0862,0.1627,5.5809,2.0000,0.2497,0.4255,0.4714,0.5982,0.806024962146694
10.7434,0.0853,0.1620,5.5955,2.0000,0.2490,0.4231,0.4693,0.5965,0.806024962146694
10.8908,0.0576,0.1291,6.8117,2.0000,0.2474,0.4235,0.4687,0.5957,0.806024962146694
10.2700,0.0164,0.0496,15.5805,3.0000,0.3094,0.4916,0.5778,0.7469,0.940784822396911
10.2762,0.0156,0.0485,15.8460,3.0000,0.3084,0.4915,0.5786,0.7465,0.940784822396911
10.3278,0.0096,0.0370,19.3248,3.0000,0.3098,0.4913,0.5772,0.7467,0.940784822396911
10.4088,0.0240,0.0544,15.1771,2.0000,0.3827,0.5380,0.6052,0.7820,1.2549742010094247
10.6651,0.0030,0.0167,35.6800,4.0000,0.3833,0.5377,0.6046,0.7807,1.2549742010094247
10.4955,0.0170,0.0441,17.9905,2.0000,0.3826,0.5373,0.6044,0.7809,1.2549742010094247
10.4024,0.0640,0.1017,8.8721,1.0000,0.4727,0.5969,0.6382,0.7674,1.130538722666403
10.4228,0.0622,0.1002,9.0051,1.0000,0.4734,0.5982,0.6385,0.7671,1.130538722666403
10.5719,0.0510,0.0873,10.1859,1.0000,0.4741,0.5981,0.6386,0.7669,1.130538722666403
